id,brand,car_model,type,desc,problem,datetime,status
569081,东风日产,轩逸,2021款 经典 1.6 XE CVT 舒适版,东风日产轩逸4S店技术差 展车与实车不符,"H79,J303,",2021-01-31,处理反馈
569078,吉利汽车,远景X3,2017款 1.5L 自动 精英型,吉利远景X3 4S店办理假行驶证协商后不履行,"L314,",2021-01-31,厂家受理
569077,江淮汽车,瑞风S3,2018款 1.5L 手动 豪华型 定制版,江淮瑞风S3车身 车轮 中控台异响严重,"H15,H93,H164,",2021-01-31,信息审核
569075,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪享版,奇瑞瑞虎8 PLUS发动机异响 车窗异响,"A9,H72,H263,",2021-01-31,信息审核
569071,北京现代,领动,2020款 1.4T 双离合 炫动·活力型,北京现代领动发动机漏油存在质量问题,"A12,",2021-01-31,信息审核
569066,广汽丰田,雷凌,2017款 185T CVT 精英版 国VI 改款,广汽丰田雷凌减震器漏油要求彻底解决,"G25,",2021-01-31,处理反馈
569065,长城汽车,哈弗H2,2018款 1.5T 手动 两驱 风尚型 创享版 国V,哈弗H2火花塞点火线圈线杆频繁损坏,"A91,",2021-01-31,处理反馈
569064,一汽-大众奥迪,奥迪A4L,2016款 2.0T 自动 标准型,一汽大众奥迪A4L发动机节温器漏防冻液,"A37,",2021-01-31,信息审核
569063,北京现代,名图,2014款 1.8L 自动 智能型,北京现代名图半轴漏油存在质量问题,"G51,",2021-01-31,信息审核
569061,海马汽车,海马8S,2019款 1.6TGDI 自动 潮版,海马8S厂家合伙人得奖励金活动未兑现,"L313,",2021-01-31,信息审核
569060,奇瑞汽车,风云2,2013款 1.5L 手动 快意版 两厢,奇瑞风云2车轮大幅度转向时与内衬摩擦,"H157,",2021-01-31,信息审核
569054,东风日产,逍客,2017款 2.0L CVT 精英版 国V,东风日产逍客变速箱报故障码P0776,"B84,",2021-01-31,处理反馈
569053,江汽集团,思皓X8,2021款 300T DCT 舒适版 7座,思皓X8变速器不分离无法正常行驶,"B77,",2021-01-31,信息审核
569051,奇瑞捷豹路虎,发现神行,2017款 2.0T SE,奇瑞捷豹路虎发现神行正时齿轮断裂水箱漏水,"A37,A45,",2021-01-31,处理反馈
569049,上汽大众,途观L,2018款 330TSI 自动 两驱 旗舰版 改款,上汽大众途观L底盘异响 后备箱有时锁不上,"G56,H68,",2021-01-31,处理反馈
569047,一汽-大众,宝来,2020款 1.5L 自动 精英型,一汽大众宝来冷车行驶时刹车异响明显,"E43,",2021-01-31,处理反馈
569045,奇瑞汽车,艾瑞泽M7,2015款 1.8L 手动 宽悦版 232座,奇瑞艾瑞泽M7 4S店无车门配件要求解决,"H79,N318,",2021-01-31,信息审核
569044,北汽新能源,EV系列,2016款 EV160 轻快版,北汽新能源EV系列动力电池无法充电,"H340,",2021-01-31,用户评分
569043,星途,星途TXL,2021款 1.6T 两驱 星耀版,星途TXL 4S店贴膜质量差操作不规范,"J303,J299,",2021-01-31,信息审核
569041,Jeep（进口）,指南者（进口）,2014款 2.4L 自动 四驱 运动版,进口Jeep指南者车内有严重异味影响身体健康,"H185,",2021-01-31,信息审核
569034,猎豹汽车,猎豹CS10,2017款 1.5T CVT 尊贵型,猎豹CS10原地左右打方向盘时有异响,"D59,",2021-01-31,信息审核
569032,北京现代,北京现代ix25,2015款 1.6L 自动 两驱 智能型 GLS 5座,北京现代ix25事故车维修配件一直未到货,"N320,",2021-01-31,信息审核
569030,长城汽车,哈弗H6 Coupe,2019款 1.5T 自动 两驱 豪华智联版 国V,哈弗H6 Coupe车身多处异响售后服务态度差,"H15,I293,",2021-01-31,处理反馈
569029,广汽本田,飞度,2016款 1.5L LXS CVT 舒适天窗版,广汽本田飞度冷车启动发动机VTC执行器异响,"A9,",2021-01-31,处理反馈
569026,北京现代,瑞纳,2014款 1.4L 手动 智能型GLS 三厢,北京现代瑞纳发动机油耗高车身抖动,"A12,A85,H15,H268,H149,",2021-01-31,信息审核
569022,昌河铃木,利亚纳A6,2016款 1.4L 手动 理想型 两厢,昌河铃木利亚纳A6电动转向系统故障,"D156,D291,",2021-01-31,信息审核
569021,陆风汽车,陆风X7,2015款 2.0T 全景尊贵版,陆风X7变速箱挂挡不走厂家一直没有回应,"B334,I294,",2021-01-31,信息审核
569018,长安汽车,奔奔E-Star,2021款 国民版 心悦版,长安奔奔E-Star经销商出售事故车要求处理,"M284,",2021-01-31,处理反馈
569016,上汽通用五菱,宝骏530,2019款 1.5T CVT 尊贵型 国V,宝骏530低速行驶变速箱换挡顿挫严重,"B19,",2021-01-31,厂家受理
569015,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳变速箱抖动 中控异响 半轴共振,"B95,G125,H93,",2021-01-31,处理反馈
569012,广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国VI,广汽本田雅阁方向盘直线行驶时卡滞,"D123,",2021-01-31,处理反馈
569007,比亚迪,宋Pro,2019款 1.5T 自动 豪华型,比亚迪宋Pro直线行驶方向盘不正且异响,"D59,D154,",2021-01-31,处理反馈
569005,奇瑞新能源,艾瑞泽e,2019款 出行版,奇瑞艾瑞泽e车辆行驶中突然断电影响安全,"H110,",2021-01-30,信息审核
569004,长城汽车,哈弗H6 Coupe,2020款 智联版 1.5T 自动 两驱 精英型,哈弗H6 Coupe变速箱 车身 天窗异响,"B33,D265,H15,H89,",2021-01-30,处理反馈
569003,福田,时代微卡,小卡之星,福田时代微卡新车发动机排气冒蓝烟,"A114,",2021-01-30,信息审核
568997,长安福特,探险者,2020款 EcoBoost 285 四驱 钛金版 6座,长安福特探险者发动机无法启动未确定原因,"A44,",2021-01-30,处理反馈
568993,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国VI,广汽三菱欧蓝德升级后拖挡共振沉闷无力,"O348,",2021-01-30,厂家受理
568988,广汽三菱,欧蓝德,2018款 2.4L 四驱 精英版 5座,广汽三菱欧蓝德4S店保养作假无人处理,"M279,N317,",2021-01-30,厂家受理
568987,广汽三菱,劲炫ASX,2020款 2.0L CVT 智领版,广汽三菱劲炫ASX行驶中发动机突然熄火,"A14,",2021-01-30,厂家受理
568984,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳玛吉斯轮胎开裂要求处理,"F100,",2021-01-30,处理反馈
568982,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动低速起步时变速箱顿挫异响,"B33,B19,",2021-01-30,信息审核
568979,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉低速行驶时变速箱顿挫异响	,"B33,B19,",2021-01-30,信息审核
568973,一汽奔腾,奔腾B30EV,2019款 EV400,一汽奔腾B30EV更换水泵后系统故障灯亮,"A34,J300,",2021-01-30,用户评分
568972,猎豹汽车,猎豹CT7,2018款 1.9T 两驱 卓越型 大双版 柴油 D19TCIE,猎豹CT7发动机故障灯亮尾气管堵塞动力不足,"A34,A163,A114,",2021-01-30,信息审核
568971,一汽-大众奥迪,奥迪Q5,2017款 2.0T 40 TFSI 技术型,一汽大众奥迪Q5节温器和水泵处漏防冻液,"A37,",2021-01-30,信息审核
568969,东风雪铁龙,雪铁龙C4L,2013款 1.8L 自动 劲驰版,东风雪铁龙C4L汽油泵设计缺陷导致油泵烧毁,"H78,",2021-01-30,厂家受理
568965,东风本田,享域,2019款 180TURBO CVT 乐享版 国V,东风本田享域发动机机油增多乳化故障灯亮,"A34,A339,A13,",2021-01-30,处理反馈
568958,广汽乘用车,传祺GS5,2019款 270T 自动 豪华版,广汽传祺GS5刹车盘异常磨损导致刹车异响,"E43,E47,",2021-01-30,信息审核
568957,福田汽车,图雅诺,2019款 2.5T E5 4J25TC3,福田图雅诺发动机烧机油厂家和4S店不解决,"A63,I295,",2021-01-30,信息审核
568955,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳行驶中变速箱异响顿挫,"B33,B19,",2021-01-30,处理反馈
568953,上汽大众,途岳,2021款 280TSI 两驱 风尚版,上汽大众途岳刹车失灵影响行车安全,"E29,K307,",2021-01-30,处理反馈
568952,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A4L低速行驶打方向盘时异响,"D59,",2021-01-30,信息审核
568951,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国VI,东风本田CR-V两后轮胎内侧吃胎方向跑偏,"G245,G117,",2021-01-30,处理反馈
568950,吉利汽车,帝豪GL,2017款 1.3T 自动 精英型,吉利帝豪GL多功能方向盘按钮功能异常,"H134,",2021-01-30,处理反馈
568947,上汽集团,名爵3,2013款 1.5L AMT 精英版,上汽名爵3刹车分泵出现漏油的现象,"E99,",2021-01-30,用户评分
568945,东风日产,奇骏,2017款 2.5L CVT 豪华版 5座 4WD,东风日产奇骏发动机抖动 变速箱脱挡,"A24,B246,",2021-01-30,处理反馈
568944,江淮汽车,嘉悦A5,2020款 1.5T CVT 精英型,江淮嘉悦A5低速行驶时发动机存在异响,"A9,H79,H134,H82,H113,H271,",2021-01-30,信息审核
568943,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾低速刹车异响变速箱换挡顿挫,"A35,B19,E43,",2021-01-30,处理反馈
568941,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国V,东风本田CR-V刹车不线性刹车偏软,"E269,",2021-01-30,处理反馈
568940,东风本田,本田XR-V,2017款 1.5L LXi CVT 经典版,东风本田XR-V行驶时底盘异响发动机噪音大,"A38,G56,",2021-01-30,处理反馈
568939,广汽丰田,雷凌,2019款 185T CVT 豪华版 国VI,广汽丰田雷凌行驶时转向异响车身异响,"D59,H15,",2021-01-30,处理反馈
568938,上汽通用五菱,五菱宏光PLUS,2019款 1.5T 手动 豪华型 7座,上汽通用五菱宏光PLUS发动机异常抖动,"A24,",2021-01-30,处理反馈
568937,北京汽车,威旺M20,2018款 1.2L 经济型 A122,北汽威旺M20发动机抖动转速表指针抖动,"A24,H202,",2021-01-30,信息审核
568936,一汽-大众,速腾,2020款 280TSI DSG 舒适型 国VI,一汽大众速腾发动机运转时汽油箱存在异响,"H147,",2021-01-30,处理反馈
568935,东风日产,逍客,2021款 2.0L CVT 豪华版,东风日产逍客行驶中车身共振发动机噪音大,"A38,H268,",2021-01-30,处理反馈
568934,上汽大众,途观L,2019款 280TSI 自动 两驱 全景舒适版 国V,上汽大众途观L行驶过程中变速箱异响顿挫,"B33,B19,",2021-01-30,处理反馈
568932,北京奔驰,奔驰GLC,2020款 改款 GLC 260 L 4MATIC 动感型,北京奔驰GLC刹车异响影响到正常用车	,"E43,",2021-01-30,厂家受理
568931,东风日产,楼兰,2017款 2.5L XL 两驱 智尚版,东风日产楼兰使用导航时无法调节音量,"H21,",2021-01-30,处理反馈
568930,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪享版,奇瑞瑞虎8 PLUS置换补贴一直不予兑现,"L313,",2021-01-30,信息审核
568925,长安汽车,长安CS35,2017款 1.6L 手动 豪华型,长安CS35车内有严重异味影响身体健康,"H185,",2021-01-30,处理反馈
568924,长安汽车,长安UNI-T,2020款 1.5T 旗舰型,长安UNI-T刹车泵里有空气 电瓶亏电,"E43,H146,",2021-01-30,处理反馈
568921,海马汽车,海马8S,2019款 1.6TGDI 自动 潮版,海马8S介绍新客户赠送奖励金承诺不予兑现,"L314,",2021-01-30,信息审核
568920,一汽解放轻卡,虎VH,大王驾到,一汽解放轻卡虎VH经销商补偿承诺不兑现,"L314,",2021-01-30,信息审核
568917,北京奔驰,奔驰GLC,2020款 GLC 260 L 4MATIC 动感型,北京奔驰GLC无法识别钥匙车门无法解锁,"H119,H197,",2021-01-30,厂家受理
568913,一汽丰田,卡罗拉,2021款 1.2T S-CVT 先锋版,一汽丰田卡罗拉变速箱顿挫异响越来越严重,"B33,B19,",2021-01-30,信息审核
568910,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾新车出现怠速飞轮异响,"A9,",2021-01-30,处理反馈
568908,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 精英版,奇瑞瑞虎8发动机高压回油管及油底壳漏油,"A12,",2021-01-30,信息审核
568907,奇瑞汽车,捷途X70,2018款 1.5T 手动 畅行版,捷途X70 4S店安装底护板磨损油底壳,"A9,H157,",2021-01-30,处理反馈
568906,北京现代,索纳塔,2011款 2.0 DLX尊贵版,北京现代索纳塔八车门生锈非常严重,"H79,",2021-01-30,信息审核
568905,广汽三菱,奕歌,2019款 1.5T CVT 两驱 梦想版 国V,广汽三菱奕歌天窗异响 车门及中控台异响,"H72,H93,H89,",2021-01-30,厂家受理
568904,北京现代,途胜,2020款 280TGDi 双离合 两驱 时尚版 国VI,北京现代途胜发动机熄火 4S店查不出原因,"A14,J301,",2021-01-30,信息审核
568903,北京现代,领动,2020款 1.4T 双离合 炫动·旗舰型,北京现代领动变速箱漏油希望厂家尽快处理,"B22,",2021-01-30,信息审核
568902,一汽-大众,宝来,2020款 1.5L 自动 舒适型,一汽大众宝来倒车影像成像上下颠倒,"H134,",2021-01-30,处理反馈
568901,郑州日产,风度MX5,2016款 1.4T 手动 时尚版,东风风度MX5发动机烧机油无人处理,"A63,",2021-01-30,信息审核
568899,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱跳挡 无法挂入倒挡,"B20,B27,",2021-01-30,处理反馈
568897,一汽-大众,速腾,2017款 1.6L 自动 舒适型,一汽大众速腾加油和收油时变速箱异响,"B33,",2021-01-30,处理反馈
568895,吉利汽车,经典帝豪,2013款 1.5L 手动 进取型 三厢,吉利经典帝豪4S店检测气囊配件未归还,"H103,J299,K307,",2021-01-30,处理反馈
568894,广汽丰田,威兰达,2020款 2.0L CVT 四驱 豪华版,广汽丰田威兰达导航不准确 系统与宣传不符,"H21,M279,",2021-01-30,处理反馈
568891,长安福特,翼虎,2013款 1.6T  两驱舒适型,长安福特翼虎变速箱漏油发动机漏防冻液,"A37,B22,",2021-01-30,处理反馈
568887,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,奇瑞瑞虎8发动机熄火后无法完全断电,"H110,",2021-01-30,信息审核
568882,长安汽车,长安欧尚X7,2020款 1.5T 手动 精英型,长安欧尚X7副驾驶玻璃水管脱落底盘泡水,"H109,",2021-01-30,厂家受理
568881,东风标致,标致308,2018款 1.6L 自动 豪华版,东风标致308前进及倒车时转向异响,"D59,",2021-01-30,处理反馈
568880,吉利汽车,熊猫,2009款 1.3L 手动 功夫版,吉利熊猫转向助力失效 后桥断裂 侧裙生锈,"D112,G230,H79,",2021-01-30,处理反馈
568876,东风本田,本田CR-V,2021款 锐·混动 2.0L 两驱 净驰版,东风本田CR-V低速行驶时汽油箱有异响,"H147,",2021-01-30,厂家受理
568875,东风日产,奇骏,2020款 2.0L XL ITS CVT 2WD 智联舒适版,东风日产奇骏4S店态度恶劣 配置与宣传不符,"I293,M279,",2021-01-30,处理反馈
568874,特斯拉（进口）,MODEL X,2017款 MODEL X 100D 长续航版,特斯拉MODEL X中控频繁死机要求处理,"H155,",2021-01-30,信息审核
568872,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质炫版,长安马自达昂克赛拉普利司通轮胎鼓包,"F39,",2021-01-30,处理反馈
568870,东风日产,奇骏,2017款 2.0L CVT 智享版 5座 2WD,东风日产奇骏变速箱无法加速希望厂家处理,"B334,",2021-01-30,用户评分
568867,广汽本田,凌派,2015款 1.8 自动 豪华版,广汽本田凌派车身锈蚀厂家拒绝处理,"H79,",2021-01-30,处理反馈
568865,东风日产,天籁,2020款 2.0L XL Upper 智行版,东风日产天籁车载智联无法使用厂家不处理,"H155,M279,",2021-01-30,处理反馈
568861,长安汽车,奔奔,2014款 1.4L 手动 天窗版,长安奔奔漆面鼓包生锈希望厂家处理问题,"H79,H81,",2021-01-30,处理反馈
568860,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油 减震器异响,"A63,G52,",2021-01-30,处理反馈
568857,奇瑞汽车,艾瑞泽7,2013款 1.6L CVT 致尚版,奇瑞艾瑞泽7车门严重生锈希望厂家处理,"H79,",2021-01-30,信息审核
568854,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 荣耀型,捷达VS5发动机异响希望厂家处理问题,"A9,",2021-01-30,处理反馈
568852,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A4L前大灯内部出现胶痕,"H220,",2021-01-30,信息审核
568850,东风日产,启辰D60,2019款 十万荣耀 1.6L XL CVT 辰酷版 国V,启辰D60发动机异响厂家故意不解决问题,"A9,",2021-01-30,信息审核
568849,广汽本田,冠道,2020款 370TURBO 两驱 豪华版,广汽本田冠道发动机漏油存在质量问题,"A12,",2021-01-30,用户评分
568846,斯巴鲁,森林人,2021款 2.0i 豪华版,斯巴鲁森林人汽油颗粒传感器有故障,"A34,A114,H234,",2021-01-30,信息审核
568840,长安汽车,长安CS35,2016款 1.6L 手动 豪华型 国IV,长安CS35车身生锈严重漆面起泡脱落,"H79,H81,",2021-01-30,用户评分
568837,江铃福特,途睿欧,2017款 2.0T 自动 精睿版,江铃福特途睿欧电瓶亏电导致无法启动,"H146,",2021-01-30,信息审核
568832,广汽丰田,雷凌,2019款 185T CVT 进取版 国VI,广汽丰田雷凌变速箱顿挫转向以及中控台异响,"B19,D59,H72,H93,",2021-01-30,处理反馈
568828,一汽-大众奥迪,奥迪Q5,2013款 40 TFSI 自动 舒适型,一汽大众奥迪Q5天窗异响希望厂家处理,"H89,",2021-01-30,信息审核
568826,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 时尚型,奇瑞瑞虎8方向盘爆皮中控黑屏质量差,"B33,B20,E43,H134,H168,H67,",2021-01-30,信息审核
568824,东风日产,天籁,2020款 2.0T XL Upper AD1 智享领航版,东风日产天籁变速箱顿挫发动机抖动,"A9,A24,B19,",2021-01-30,处理反馈
568822,长城汽车,哈弗H6 Coupe,2016款 1.5T 自动 两驱精英型,哈弗H6 Coupe发动机怠速时出现异响,"A9,",2021-01-30,处理反馈
568819,北京现代,朗动,2016款 1.6L 自动 尊贵型,北京现代朗动出现交通事故气囊未弹开,"H103,",2021-01-30,信息审核
568815,长安福特,探险者,2020款 EcoBoost 285 四驱 运动版ST-LINE 6座,长安福特探险者油箱有异响希望厂家处理,"H147,",2021-01-30,处理反馈
568814,吉利汽车,嘉际,2019款 1.5TD 手动 舒享型,吉利嘉际厂家销售承诺现金未返还,"L313,",2021-01-30,厂家受理
568812,长安马自达,马自达CX-5,2020款 改款 2.0L 自动 两驱 智尊型,长安马自达CX-5变速箱异响希望厂家处理,"B33,",2021-01-30,处理反馈
568807,一汽丰田,亚洲龙,2019款 双擎 2.5L XLE 尊贵版 国V,一汽丰田亚洲龙天窗和车内异响严重,"H164,H89,",2021-01-30,信息审核
568804,上汽大众,途观L新能源,2021款 430PHEV 插电混动 尊贵版,上汽大众途观L新能源经销商恶意强制销售,"K325,",2021-01-30,处理反馈
568802,东风日产,阳光,2011款 1.5L CVT XV 尊贵版,东风日产阳光故障灯亮发动机故障灯亮,"A34,",2021-01-30,处理反馈
568801,一汽-大众奥迪,奥迪A6L新能源,2020款 55 TFSI e quattro,一汽大众奥迪A6L仪表盘损坏希望厂家质保,"H202,N318,",2021-01-30,信息审核
568799,上汽大通,上汽大通MAXUS G10,2018款 1.9T 自动 精英版 PLUS 柴油,上汽MAXUS G10发动机异响希望厂家处理,"A9,",2021-01-30,处理反馈
568794,一汽-大众,宝来,2021款 1.5L 自动 舒适智联版,一汽大众宝来N挡停车后钥匙能拔出,"H119,",2021-01-30,处理反馈
568790,东风日产,奇骏,2017款 2.0L CVT 舒适版 5座 2WD,东风日产奇骏售后保养无故更换冷却液盖,"J299,",2021-01-30,处理反馈
568788,江淮汽车,嘉悦A5,2020款 1.5T CVT 精英型,江淮嘉悦A5发动机怠速抖动希望厂家处理,"A24,",2021-01-30,信息审核
568787,知豆电动车,知豆D2,2016款 D2,知豆D2动力电池故障无法正常行驶,"H343,",2021-01-30,信息审核
568784,广汽丰田,雷凌,2019款 185T CVT 豪华版 国VI,广汽丰田雷凌低速行驶变速箱异响顿挫,"B33,B19,",2021-01-30,处理反馈
568783,一汽-大众,速腾,2018款 1.6L 自动 舒适型,一汽大众速腾行驶中变速箱顿挫严重,"B19,",2021-01-30,处理反馈
568782,上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,上汽大众途观L启停失灵 油耗高 车身异响,"A85,H15,H263,",2021-01-30,处理反馈
568778,北京现代,领动,2020款 1.4T 双离合 炫动·活力型,北京现代领动行驶中方向跑偏转向异响,"D59,G117,",2021-01-30,信息审核
568775,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳刹车盘生锈销售商出售库存车,"E42,M284,M283,",2021-01-30,处理反馈
568771,一汽-大众,高尔夫·嘉旅,2016款 1.6L 自动 舒适型,一汽大众高尔夫嘉旅变速箱换挡机构故障,"B20,B96,B84,",2021-01-30,处理反馈
568766,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯有白雾希望厂家处理,"H82,",2021-01-30,处理反馈
568765,东风日产,奇骏,2019款 2.0L CVT 智联舒适版 5座 2WD,东风日产奇骏发动机异响希望厂家处理,"A9,",2021-01-30,处理反馈
568762,上汽大众,Polo,2019款 Plus 1.5L 自动 全景乐享版,上汽大众Polo领取新年红包无法使用,"L313,",2021-01-30,处理反馈
568761,广汽丰田,雷凌,2017款 1.8H GS CVT 精英天窗版 国V 改款 双擎,广汽丰田雷凌出现交通事故安全气囊未弹开,"H55,",2021-01-30,处理反馈
568757,吉利汽车,远景X6,2016款 1.3T CVT 豪华型,吉利远景X6变速箱无法加速希望厂家处理,"B334,N317,",2021-01-29,处理反馈
568756,BEIJING汽车,绅宝X35,2016款 1.5L 手动 精英版,绅宝X35转向异响卡顿换件未解决问题,"D59,D123,",2021-01-29,处理反馈
568752,长安汽车,长安CS55,2017款 1.5T 手动 炫色型,长安CS55中控台异响希望厂家处理问题,"H93,",2021-01-29,处理反馈
568751,东风本田,本田CR-V,2017款 240TURBO 自动 四驱 尊贵版,东风本田CR-V刹车不线性 自动驻车反应滞后,"E269,H170,",2021-01-29,处理反馈
568749,广汽三菱,劲炫ASX,2013款 2.0L 手动 两驱 舒适版,广汽三菱劲炫发动机舱异响希望厂家处理,"A9,",2021-01-29,厂家受理
568747,SWM斯威汽车,SWM斯威X7,2017款 1.5T 自动 智尊型 7座,斯威X7减震器异响希望厂家质保处理,"G52,I297,",2021-01-29,信息审核
568746,一汽-大众奥迪,奥迪A6L,2021款 40 TFSI 豪华动感型,一汽大众奥迪A6L低速松油门自动加速,"B115,",2021-01-29,信息审核
568743,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408电瓶故障导致发动机无法启动,"H146,H110,",2021-01-29,处理反馈
568739,东风本田,INSPIRE,2019款 锐·混动 2.0L 净尚版 国VI,东风本田INSPIRE发动机渗油希望厂家处理,"A12,",2021-01-29,处理反馈
568738,一汽-大众,T-ROC探歌,2020款 280TSI DSG 两驱 豪华型,一汽大众探歌行驶中转向锁死存在质量问题,"D123,D57,",2021-01-29,用户评分
568735,沃尔沃（进口）,沃尔沃XC90,2021款 B6 智逸豪华版 7座,进口沃尔沃XC90发动机故障灯亮希望厂家处理,"A34,",2021-01-29,信息审核
568732,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动困难有异响现象,"A9,A44,",2021-01-29,处理反馈
